,Species1
1099,Artisornis sousae
1100,Bathmocercus cerviniventris
1101,Bathmocercus rufus
1102,Calamonastes fasciolatus
1103,Calamonastes simplex
1104,Calamonastes stierlingi
1105,Calamonastes undosus
1106,Camaroptera brachyura
1107,Camaroptera chloronota
1108,Camaroptera harterti
1109,Camaroptera superciliaris
1110,Camaroptera toroensis
1111,Cisticola aberdare
1112,Cisticola aberrans
1113,Cisticola angusticauda
1114,Cisticola anonymus
1115,Cisticola aridulus
1116,Cisticola ayresii
1117,Cisticola bailunduensis
1118,Cisticola bodessa
1119,Cisticola brachypterus
1120,Cisticola brunnescens
1121,Cisticola bulliens
1122,Cisticola cantans
1123,Cisticola carruthersi
1124,Cisticola cherina
1125,Cisticola chiniana
1126,Cisticola chubbi
1127,Cisticola cinereolus
1128,Cisticola cinnamomeus
1129,Cisticola dambo
1130,Cisticola erythrops
1131,Cisticola exilis
1132,Cisticola eximius
1133,Cisticola fulvicapilla
1134,Cisticola galactotes
1135,Cisticola guinea
1136,Cisticola haematocephalus
1137,Cisticola haesitatus
1138,Cisticola hunteri
1139,Cisticola juncidis
1140,Cisticola lais
1141,Cisticola lateralis
1142,Cisticola luapula
1143,Cisticola lugubris
1144,Cisticola marginatus
1145,Cisticola melanurus
1146,Cisticola nana
1147,Cisticola natalensis
1148,Cisticola nigriloris
1149,Cisticola njombe
1150,Cisticola pipiens
1151,Cisticola restrictus
1152,Cisticola robustus
1153,Cisticola ruficeps
1154,Cisticola rufilatus
1155,Cisticola rufus
1156,Cisticola subruficapilla
1157,Cisticola textrix
1158,Cisticola tinniens
1159,Cisticola troglodytes
1160,Cisticola woosnami
1161,Drymocichla incana
1162,Eminia lepida
1163,Eremomela atricollis
1164,Eremomela badiceps
1165,Eremomela canescens
1166,Eremomela flavicrissalis
1167,Eremomela gregalis
1168,Eremomela icteropygialis
1169,Eremomela pusilla
1170,Eremomela scotops
1171,Eremomela turneri
1172,Eremomela usticollis
1173,Euryptila subcinnamomea
1174,Hypergerus atriceps
1175,Incana incana
1176,Malcorus pectoralis
1177,Micromacronus leytensis
1178,Micromacronus sordidus
1179,Neomixis pallidior
1180,Neomixis striatigula
1181,Neomixis tenella
1182,Neomixis viridis
1183,Oreolais pulcher
1184,Oreolais ruwenzorii
1185,Oreophilais robertsi
1186,Orthotomus atrogularis
1187,Orthotomus castaneiceps
1188,Orthotomus chaktomuk
1189,Orthotomus chloronotus
1190,Orthotomus cinereiceps
1191,Orthotomus derbianus
1192,Orthotomus frontalis
1193,Orthotomus nigriceps
1194,Orthotomus ruficeps
1195,Orthotomus samarensis
1196,Orthotomus sepium
1197,Orthotomus sericeus
1198,Orthotomus sutorius
1199,Phragmacia substriata
1200,Phyllolais pulchella
1201,Poliolais lopezi
1202,Prinia atrogularis
1203,Prinia bairdii
1204,Prinia buchanani
1205,Prinia cinereocapilla
1206,Prinia crinigera
1207,Prinia erythroptera
1208,Prinia familiaris
1209,Prinia flavicans
1210,Prinia flaviventris
1211,Prinia fluviatilis
1212,Prinia gracilis
1213,Prinia hodgsonii
1214,Prinia hypoxantha
1215,Prinia inornata
1216,Prinia khasiana
1217,Prinia maculosa
1218,Prinia molleri
1219,Prinia polychroa
1220,Prinia rufescens
1221,Prinia rufifrons
1222,Prinia socialis
1223,Prinia somalica
1224,Prinia sonitans
1225,Prinia subflava
1226,Prinia superciliaris
1227,Prinia sylvatica
1228,Scepomycter winifredae
1229,Schistolais leontica
1230,Schistolais leucopogon
1231,Spiloptila clamans
1232,Urolais epichlorus
1233,Climacteris affinis
1234,Climacteris erythrops
1235,Climacteris melanurus
1236,Climacteris picumnus
1237,Climacteris rufus
1238,Cormobates leucophaea
1239,Cormobates placens
1240,Cnemophilus loriae
1241,Cnemophilus macgregorii
1242,Cnemophilus sanguineus
1243,Loboparadisea sericea
1244,Conopophaga ardesiaca
1245,Conopophaga aurita
1246,Conopophaga castaneiceps
1247,Conopophaga cearae
1248,Conopophaga lineata
1249,Conopophaga melanogaster
1250,Conopophaga melanops
1251,Conopophaga peruviana
1252,Conopophaga roberti
1253,Conopophaga snethlageae
1254,Pittasoma michleri
1255,Pittasoma rufopileatum
1256,Corcorax melanorhamphos
1257,Struthidea cinerea
1258,Aphelocoma californica
1259,Aphelocoma coerulescens
1260,Aphelocoma ultramarina
1261,Aphelocoma unicolor
1262,Aphelocoma wollweberi
1263,Cissa chinensis
1264,Cissa hypoleuca
1265,Cissa jefferyi
1266,Cissa thalassina
1267,Corvus albicollis
1268,Corvus albus
1269,Corvus bennetti
1270,Corvus brachyrhynchos
1271,Corvus capensis
1272,Corvus caurinus
1273,Corvus corax
1274,Corvus corone
1275,Corvus coronoides
1276,Corvus crassirostris
1277,Corvus cryptoleucus
1278,Corvus dauuricus
1279,Corvus edithae
1280,Corvus enca
1281,Corvus florensis
1282,Corvus frugilegus
1283,Corvus fuscicapillus
1284,Corvus hawaiiensis
1285,Corvus imparatus
1286,Corvus insularis
1287,Corvus jamaicensis
1288,Corvus kubaryi
1289,Corvus leucognaphalus
1290,Corvus macrorhynchos
1291,Corvus meeki
1292,Corvus mellori
1293,Corvus monedula
1294,Corvus moneduloides
1295,Corvus nasicus
1296,Corvus orru
1297,Corvus ossifragus
1298,Corvus palmarum
1299,Corvus pectoralis
1300,Corvus rhipidurus
1301,Corvus ruficollis
1302,Corvus sinaloae
1303,Corvus splendens
1304,Corvus tasmanicus
1305,Corvus tristis
1306,Corvus typicus
1307,Corvus unicolor
1308,Corvus validus
1309,Corvus violaceus
1310,Corvus woodfordi
1311,Crypsirina cucullata
1312,Crypsirina temia
1313,Cyanocitta cristata
1314,Cyanocitta stelleri
1315,Cyanocorax affinis
1316,Cyanocorax beecheii
1317,Cyanocorax cayanus
1318,Cyanocorax chrysops
1319,Cyanocorax coeruleus
1320,Cyanocorax colliei
1321,Cyanocorax cristatellus
1322,Cyanocorax cyanomelas
1323,Cyanocorax cyanopogon
1324,Cyanocorax dickeyi
1325,Cyanocorax formosus
1326,Cyanocorax hafferi
1327,Cyanocorax heilprini
1328,Cyanocorax melanocyaneus
1329,Cyanocorax morio
1330,Cyanocorax mystacalis
1331,Cyanocorax sanblasianus
1332,Cyanocorax violaceus
1333,Cyanocorax yncas
1334,Cyanocorax yucatanicus
1335,Cyanolyca argentigula
1336,Cyanolyca armillata
1337,Cyanolyca cucullata
1338,Cyanolyca mirabilis
1339,Cyanolyca nanus
1340,Cyanolyca pulchra
1341,Cyanolyca pumilo
1342,Cyanolyca quindiuna
1343,Cyanolyca turcosa
1344,Cyanolyca viridicyanus
1345,Cyanopica cooki
1346,Cyanopica cyanus
1347,Dendrocitta bayleii
1348,Dendrocitta cinerascens
1349,Dendrocitta formosae
1350,Dendrocitta frontalis
1351,Dendrocitta leucogastra
1352,Dendrocitta occipitalis
1353,Dendrocitta vagabunda
1354,Garrulus bispecularis
1355,Garrulus glandarius
1356,Garrulus lanceolatus
1357,Garrulus leucotis
1358,Garrulus lidthi
1359,Gymnorhinus cyanocephalus
1360,Nucifraga caryocatactes
1361,Nucifraga columbiana
1362,Nucifraga hemispila
1363,Nucifraga multipunctata
1364,Perisoreus canadensis
1365,Perisoreus infaustus
1366,Perisoreus internigrans
1367,Pica asirensis
1368,Pica hudsonia
1369,Pica mauritanica
1370,Pica nutalli
1371,Pica pica
1372,Platysmurus aterrimus
1373,Platysmurus leucopterus
1374,Podoces biddulphi
1375,Podoces hendersoni
1376,Podoces panderi
1377,Podoces pleskei
1378,Ptilostomus afer
1379,Pyrrhocorax graculus
1380,Pyrrhocorax pyrrhocorax
1381,Temnurus temnurus
1382,Urocissa caerulea
1383,Urocissa erythroryncha
1384,Urocissa flavirostris
1385,Urocissa ornata
1386,Urocissa whiteheadi
1387,Urocissa xanthomelana
1388,Zavattariornis stresemanni
1389,Ampelioides tschudii
1390,Ampelion rubrocristatus
1391,Ampelion rufaxilla
1392,Carpodectes antoniae
1393,Carpodectes hopkei
1394,Carpodectes nitidus
1395,Carpornis cucullata
1396,Carpornis melanocephala
1397,Cephalopterus glabricollis
1398,Cephalopterus ornatus
1399,Cephalopterus penduliger
1400,Conioptilon mcilhennyi
1401,Cotinga amabilis
1402,Cotinga cayana
1403,Cotinga cotinga
1404,Cotinga maculata
1405,Cotinga maynana
1406,Cotinga nattererii
1407,Cotinga ridgwayi
1408,Doliornis remseni
1409,Doliornis sclateri
1410,Gymnoderus foetidus
1411,Haematoderus militaris
1412,Lipaugus ater
1413,Lipaugus conditus
1414,Lipaugus fuscocinereus
1415,Lipaugus lanioides
1416,Lipaugus streptophorus
1417,Lipaugus unirufus
1418,Lipaugus uropygialis
1419,Lipaugus vociferans
1420,Lipaugus weberi
1421,Perissocephalus tricolor
1422,Phibalura boliviana
1423,Phibalura flavirostris
1424,Phoenicircus carnifex
1425,Phoenicircus nigricollis
1426,Phytotoma raimondii
1427,Phytotoma rara
1428,Phytotoma rutila
1429,Pipreola arcuata
1430,Pipreola aureopectus
1431,Pipreola chlorolepidota
1432,Pipreola formosa
1433,Pipreola frontalis
1434,Pipreola intermedia
1435,Pipreola jucunda
1436,Pipreola lubomirskii
1437,Pipreola pulchra
1438,Pipreola riefferii
1439,Pipreola squamipectus
1440,Pipreola whitelyi
1441,Porphyrolaema porphyrolaema
1442,Procnias albus
1443,Procnias averano
1444,Procnias nudicollis
1445,Procnias tricarunculatus
1446,Pyroderus scutatus
1447,Querula purpurata
1448,Rupicola peruvianus
1449,Rupicola rupicola
1450,Snowornis cryptolophus
1451,Snowornis subalaris
1452,Xipholena atropurpurea
1453,Xipholena lamellipennis
1454,Xipholena punicea
1455,Zaratornis stresemanni
1456,Dasyornis brachypterus
1457,Dasyornis broadbenti
1458,Dasyornis longirostris
1459,Dicaeum aeneum
1460,Dicaeum agile
1461,Dicaeum annae
1462,Dicaeum anthonyi
1463,Dicaeum aureolimbatum
1464,Dicaeum australe
1465,Dicaeum beccarii
1466,Dicaeum bicolor
1467,Dicaeum cambodianum
1468,Dicaeum celebicum
1469,Dicaeum chrysorrheum
1470,Dicaeum concolor
1471,Dicaeum cruentatum
1472,Dicaeum dayakorum
1473,Dicaeum erythrorhynchos
1474,Dicaeum erythrothorax
1475,Dicaeum everetti
1476,Dicaeum eximium
1477,Dicaeum geelvinkianum
1478,Dicaeum haematostictum
1479,Dicaeum hanieli
1480,Dicaeum hirundinaceum
1481,Dicaeum hypoleucum
1482,Dicaeum ignicolle
1483,Dicaeum igniferum
1484,Dicaeum ignipectus
1485,Dicaeum kampalili
1486,Dicaeum keiense
1487,Dicaeum luzoniense
1488,Dicaeum maugei
1489,Dicaeum melanozanthum
1490,Dicaeum minullum
1491,Dicaeum monticolum
1492,Dicaeum nehrkorni
1493,Dicaeum nigrilore
1494,Dicaeum nitidum
1495,Dicaeum pectorale
1496,Dicaeum proprium
1497,Dicaeum pygmaeum
1498,Dicaeum quadricolor
1499,Dicaeum retrocinctum
1500,Dicaeum sanguinolentum
1501,Dicaeum schistaceiceps
1502,Dicaeum trigonostigma
1503,Dicaeum tristrami
1504,Dicaeum trochileum
1505,Dicaeum vincens
1506,Dicaeum vulneratum
1507,Dicaeum wilhelminae
1508,Prionochilus maculatus
1509,Prionochilus olivaceus
1510,Prionochilus percussus
1511,Prionochilus plateni
1512,Prionochilus thoracicus
1513,Prionochilus xanthopygius
1514,Dicrurus adsimilis
1515,Dicrurus aeneus
1516,Dicrurus aldabranus
1517,Dicrurus andamanensis
1518,Dicrurus annectens
1519,Dicrurus atripennis
1520,Dicrurus balicassius
1521,Dicrurus bracteatus
1522,Dicrurus caerulescens
1523,Dicrurus densus
1524,Dicrurus forficatus
1525,Dicrurus fuscipennis
1526,Dicrurus hottentottus
1527,Dicrurus leucophaeus
1528,Dicrurus lophorinus
1529,Dicrurus ludwigii
1530,Dicrurus macrocercus
1531,Dicrurus megarhynchus
1532,Dicrurus menagei
1533,Dicrurus modestus
1534,Dicrurus montanus
1535,Dicrurus paradiseus
1536,Dicrurus remifer
1537,Dicrurus striatus
1538,Dicrurus sumatranus
1539,Dicrurus waldenii
1540,Donacobius atricapilla
1541,Dulus dominicus
1542,Elachura formosa
1543,Emberiza affinis
1544,Emberiza aureola
1545,Emberiza bruniceps
1546,Emberiza buchanani
1547,Emberiza cabanisi
1548,Emberiza caesia
1549,Emberiza calandra
1550,Emberiza capensis
1551,Emberiza chrysophrys
1552,Emberiza cia
1553,Emberiza cineracea
1554,Emberiza cioides
1555,Emberiza cirlus
1556,Emberiza citrinella
1557,Emberiza elegans
1558,Emberiza flaviventris
1559,Emberiza fucata
1560,Emberiza godlewskii
1561,Emberiza goslingi
1562,Emberiza hortulana
1563,Emberiza impetuani
1564,Emberiza jankowskii
1565,Emberiza koslowi
1566,Emberiza lathami
1567,Emberiza leucocephalos
1568,Emberiza melanocephala
1569,Emberiza pallasi
1570,Emberiza personata
1571,Emberiza poliopleura
1572,Emberiza pusilla
1573,Emberiza rustica
1574,Emberiza rutila
1575,Emberiza sahari
1576,Emberiza schoeniclus
1577,Emberiza siemsseni
1578,Emberiza socotrana
1579,Emberiza spodocephala
1580,Emberiza stewarti
1581,Emberiza striolata
1582,Emberiza sulphurata
1583,Emberiza tahapisi
1584,Emberiza tristrami
1585,Emberiza variabilis
1586,Emberiza yessoensis
1587,Amadina erythrocephala
1588,Amadina fasciata
1589,Amandava amandava
1590,Amandava formosa
1591,Amandava subflava
1592,Chloebia gouldiae
1593,Clytospiza monteiri
1594,Coccopygia bocagei
1595,Coccopygia melanotis
1596,Coccopygia quartinia
1597,Cryptospiza jacksoni
1598,Cryptospiza reichenovii
1599,Cryptospiza salvadorii
1600,Cryptospiza shelleyi
1601,Emblema pictum
1602,Erythrura coloria
1603,Erythrura cyaneovirens
1604,Erythrura hyperythra
1605,Erythrura kleinschmidti
1606,Erythrura papuana
1607,Erythrura pealii
1608,Erythrura prasina
1609,Erythrura psittacea
1610,Erythrura trichroa
1611,Erythrura tricolor
1612,Erythrura viridifacies
1613,Estrilda astrild
1614,Estrilda atricapilla
1615,Estrilda charmosyna
1616,Estrilda coerulescens
1617,Estrilda erythronotos
1618,Estrilda kandti
1619,Estrilda melpoda
1620,Estrilda nigriloris
1621,Estrilda nonnula
1622,Estrilda paludicola
1623,Estrilda perreini
1624,Estrilda poliopareia
1625,Estrilda rhodopyga
1626,Estrilda rufibarba
1627,Estrilda thomensis
1628,Estrilda troglodytes
1629,Euodice cantans
1630,Euodice malabarica
1631,Euschistospiza cinereovinacea
1632,Euschistospiza dybowskii
1633,Granatina granatina
1634,Granatina ianthinogaster
1635,Heteromunia pectoralis
1636,Hypargos margaritatus
1637,Hypargos niveoguttatus
1638,Lagonosticta larvata
1639,Lagonosticta nigricollis
1640,Lagonosticta nitidula
1641,Lagonosticta rara
1642,Lagonosticta rhodopareia
1643,Lagonosticta rubricata
1644,Lagonosticta rufopicta
1645,Lagonosticta sanguinodorsalis
1646,Lagonosticta senegala
1647,Lagonosticta umbrinodorsalis
1648,Lagonosticta vinacea
1649,Lagonosticta virata
1650,Lepidopygia nana
1651,Lonchura atricapilla
1652,Lonchura caniceps
1653,Lonchura castaneothorax
1654,Lonchura ferruginosa
1655,Lonchura flaviprymna
1656,Lonchura forbesi
1657,Lonchura fuscans
1658,Lonchura fuscata
1659,Lonchura grandis
1660,Lonchura hunsteini
1661,Lonchura kelaarti
1662,Lonchura leucogastra
1663,Lonchura leucogastroides
1664,Lonchura leucosticta
1665,Lonchura maja
1666,Lonchura malacca
1667,Lonchura melaena
1668,Lonchura molucca
1669,Lonchura montana
1670,Lonchura monticola
1671,Lonchura nevermanni
1672,Lonchura oryzivora
1673,Lonchura pallida
1674,Lonchura punctulata
1675,Lonchura quinticolor
1676,Lonchura spectabilis
1677,Lonchura striata
1678,Lonchura stygia
1679,Lonchura teerinki
1680,Lonchura tristissima
1681,Lonchura vana
1682,Mandingoa nitidula
1683,Neochmia evangelinae
1684,Neochmia modesta
1685,Neochmia phaeton
1686,Neochmia ruficauda
1687,Neochmia temporalis
1688,Nesocharis ansorgei
1689,Nesocharis capistrata
1690,Nesocharis shelleyi
1691,Nigrita bicolor
1692,Nigrita canicapillus
1693,Nigrita fusconotus
1694,Nigrita luteifrons
1695,Odontospiza griseicapilla
1696,Oreostruthus fuliginosus
1697,Ortygospiza atricollis
1698,Paludipasser locustella
1699,Parmoptila jamesoni
1700,Parmoptila rubrifrons
1701,Parmoptila woodhousei
1702,Poephila acuticauda
1703,Poephila cincta
1704,Poephila personata
1705,Pyrenestes minor
1706,Pyrenestes ostrinus
1707,Pyrenestes sanguineus
1708,Pytilia afra
1709,Pytilia hypogrammica
1710,Pytilia lineata
1711,Pytilia melba
1712,Pytilia phoenicoptera
1713,Spermestes bicolor
1714,Spermestes cucullata
1715,Spermestes fringilloides
1716,Spermophaga haematina
1717,Spermophaga poliogenys
1718,Spermophaga ruficapilla
1719,Stagonopleura bella
1720,Stagonopleura guttata
1721,Stagonopleura oculata
1722,Taeniopygia bichenovii
1723,Taeniopygia castanotis
1724,Taeniopygia guttata
1725,Uraeginthus angolensis
1726,Uraeginthus bengalus
1727,Uraeginthus cyanocephalus
1728,Eulacestoma nigropectus
1729,Eupetes macrocerus
1730,Corydon sumatranus
1731,Cymbirhynchus affinis
1732,Cymbirhynchus macrorhynchos
1733,Eurylaimus harterti
1734,Eurylaimus javanicus
1735,Eurylaimus ochromalus
1736,Psarisomus dalhousiae
1737,Pseudocalyptomena graueri
1738,Sarcophanops samarensis
1739,Sarcophanops steerii
1740,Serilophus lunatus
1741,Serilophus rubropygius
1742,Falcunculus frontatus
1743,Falcunculus leucogaster
1744,Falcunculus whitei
1745,Chamaeza campanisona
1746,Chamaeza meruloides
1747,Chamaeza mollissima
1748,Chamaeza nobilis
1749,Chamaeza ruficauda
1750,Chamaeza turdina
1751,Formicarius analis
1752,Formicarius colma
1753,Formicarius moniliger
1754,Formicarius nigricapillus
1755,Formicarius rufifrons
1756,Formicarius rufipectus
1757,Acanthis flammea
1758,Agraphospiza rubescens
1759,Bucanetes githagineus
1760,Bucanetes mongolicus
1761,Callacanthis burtoni
1762,Carduelis caniceps
1763,Carduelis carduelis
1764,Carduelis citrinella
1765,Carduelis corsicana
1766,Carpodacus dubius
1767,Carpodacus edwardsii
1768,Carpodacus erythrinus
1769,Carpodacus formosanus
1770,Carpodacus pulcherrimus
1771,Carpodacus puniceus
1772,Carpodacus rhodochlamys
1773,Carpodacus roborowskii
1774,Carpodacus rodochroa
1775,Carpodacus rodopeplus
1776,Carpodacus roseus
1777,Carpodacus rubicilla
1778,Carpodacus rubicilloides
1779,Carpodacus sibiricus
1780,Carpodacus sillemi
1781,Carpodacus sipahi
1782,Carpodacus stoliczkae
1783,Carpodacus subhimachalus
1784,Carpodacus synoicus
1785,Carpodacus thura
1786,Carpodacus trifasciatus
1787,Carpodacus verreauxii
1788,Carpodacus vinaceus
1789,Carpodacus waltoni
1790,Chloris ambigua
1791,Chloris chloris
1792,Chloris monguilloti
1793,Chloris sinica
1794,Chloris spinoides
1795,Chlorodrepanis flava
1796,Chlorodrepanis stejnegeri
1797,Chlorodrepanis virens
1798,Chlorophonia callophrys
1799,Chlorophonia cyanea
1800,Chlorophonia flavirostris
1801,Chlorophonia occipitalis
1802,Chlorophonia pyrrhophrys
1803,Chrysocorythus estherae
1804,Chrysocorythus mindanensis
1805,Coccothraustes coccothraustes
1806,Crithagra albogularis
1807,Crithagra ankoberensis
1808,Crithagra atrogularis
1809,Crithagra buchanani
1810,Crithagra burtoni
1811,Crithagra canicapilla
1812,Crithagra capistrata
1813,Crithagra citrinelloides
1814,Crithagra citrinipectus
1815,Crithagra concolor
1816,Crithagra donaldsoni
1817,Crithagra dorsostriata
1818,Crithagra flavigula
1819,Crithagra flaviventris
1820,Crithagra frontalis
1821,Crithagra gularis
1822,Crithagra hyposticta
1823,Crithagra koliensis
1824,Crithagra leucoptera
1825,Crithagra leucopygia
1826,Crithagra melanochroa
1827,Crithagra menachensis
1828,Crithagra mennelli
1829,Crithagra mozambica
1830,Crithagra reichardi
1831,Crithagra reichenowi
1832,Crithagra rothschildi
1833,Crithagra rufobrunnea
1834,Crithagra scotops
1835,Crithagra striatipectus
1836,Crithagra striolata
1837,Crithagra sulphurata
1838,Crithagra symonsi
1839,Crithagra totta
1840,Crithagra tristriata
1841,Crithagra xantholaema
1842,Crithagra xanthopygia
1843,Drepanis coccinea
1844,Eophona migratoria
1845,Eophona personata
1846,Euphonia affinis
1847,Euphonia anneae
1848,Euphonia cayennensis
1849,Euphonia chalybea
1850,Euphonia chlorotica
1851,Euphonia chrysopasta
1852,Euphonia concinna
1853,Euphonia cyanocephala
1854,Euphonia elegantissima
1855,Euphonia finschi
1856,Euphonia flavifrons
1857,Euphonia fulvicrissa
1858,Euphonia gouldi
1859,Euphonia hirundinacea
